feature_extraction,channels,classifier,cross-validation,feature-selection,accuracy,f1_score,AUC
PSD - Total Power & Spectral Density Features,Fp1,Support Vector,StratifiedKFold,chi2,0.4805555555555555,0.3588811188811188,0.525
PSD - Total Power & Spectral Density Features,Fp1,Support Vector,StratifiedShuffleSplit,anova,0.6666666666666667,0.6548701298701298,0.6549999999999999
PSD - Total Power & Spectral Density Features,Fp1,Support Vector,StratifiedShuffleSplit,mutual_info_classif,0.5111111111111111,0.4318559218559219,0.5200000000000001
PSD - Total Power & Spectral Density Features,Fp1,Support Vector,StratifiedShuffleSplit,chi2,0.4444444444444445,0.3076923076923076,0.5
PSD - Total Power & Spectral Density Features,Fp1,Random Forest,KFold,anova,0.4111111111111111,0.2897435897435897,0.5
PSD - Total Power & Spectral Density Features,Fp1,Random Forest,KFold,mutual_info_classif,0.4111111111111111,0.2897435897435897,0.5
PSD - Total Power & Spectral Density Features,Fp1,Random Forest,KFold,chi2,0.5472222222222223,0.5010606060606061,0.615
PSD - Total Power & Spectral Density Features,Fp1,Random Forest,StratifiedKFold,anova,0.4555555555555555,0.3128205128205127,0.5
PSD - Total Power & Spectral Density Features,Fp1,Random Forest,StratifiedKFold,mutual_info_classif,0.4555555555555555,0.3128205128205127,0.5
PSD - Total Power & Spectral Density Features,Fp1,Random Forest,StratifiedKFold,chi2,0.4277777777777777,0.4226479076479076,0.4349999999999999
PSD - Total Power & Spectral Density Features,Fp1,Random Forest,StratifiedShuffleSplit,anova,0.4444444444444445,0.3076923076923076,0.5
